,PFE
1457,45.415
1458,45.43
1459,45.41
1460,45.42
1461,45.42
1462,45.42
1463,45.43
1464,45.39
1465,45.39
1466,45.42
1467,45.4066
1468,45.43
1469,45.44
1470,45.41
1471,45.42
1472,45.45
1473,45.44
1474,45.42
1475,45.43
1476,45.45
1477,45.46
1478,45.47
1479,45.46
1480,45.45
1481,45.43
1482,45.44
1483,45.44
1484,45.44
1485,45.46
1486,45.47
1487,45.46
1488,45.49
1489,45.49
1490,45.48
1491,45.4752
1492,45.47
1493,45.445
1494,45.45
1495,45.44
1496,45.43
1497,45.44
1498,45.43
1499,45.45
1500,45.445
1501,45.4448
1502,45.445
1503,45.415
1504,45.42
1505,45.4
1506,45.41
1507,45.4055
1508,45.39
1509,45.396
1510,45.39
1511,45.375
1512,45.39
1513,45.4
1514,45.39
1515,45.42
1516,45.43
1517,45.4352
1518,45.42
1519,45.414
1520,45.41
1521,45.3939
1522,45.38
1523,45.38
1524,45.4
1525,45.4128
1526,45.44
1527,45.46
1528,45.46
1529,45.47
1530,45.45
1531,45.48
1532,45.49
1533,45.51
1534,45.51
1535,45.51
1536,45.52
1537,45.5
1538,45.53
1539,45.54
1540,45.54
1541,45.53
1542,45.53
1543,45.535
1544,45.53
1545,45.51
1546,45.51
1547,45.51
1548,45.52
1549,45.53
1550,45.51
1551,45.51
1552,45.54
1553,45.53
1554,45.52
1555,45.51
1556,45.4945
1557,45.5
1558,45.4866
1559,45.49
1560,45.48
1561,45.47
1562,45.465
1563,45.44
1564,45.44
1565,45.45
1566,45.43
1567,45.43
1568,45.42
1569,45.44
1570,45.4499
1571,45.46
1572,45.48
1573,45.48
1574,45.48
1575,45.4753
1576,45.455
1577,45.46
1578,45.46
1579,45.445
1580,45.44
1581,45.43
1582,45.43
1583,45.44
1584,45.42
1585,45.42
1586,45.39
1587,45.4
1588,45.4
1589,45.4012
1590,45.41
1591,45.41
1592,45.4
1593,45.42
1594,45.4263
1595,45.4267
1596,45.43
1597,45.44
1598,45.45
1599,45.46
1600,45.425
1601,45.435
1602,45.41
1603,45.41
1604,45.43
1605,45.42
1606,45.415
1607,45.415
1608,45.42
1609,45.42
1610,45.431
1611,45.435
1612,45.4301
1613,45.43
1614,45.445
1615,45.455
1616,45.44
1617,45.435
1618,45.45
1619,45.47
1620,45.4675
1621,45.5
1622,45.485
1623,45.49
1624,45.485
1625,45.4801
1626,45.4675
1627,45.475
1628,45.477
1629,45.47
1630,45.47
1631,45.47
1632,45.46
1633,45.465
1634,45.48
1635,45.495
1636,45.485
1637,45.49
1638,45.48
1639,45.48
1640,45.47
1641,45.47
1642,45.47
1643,45.48
1644,45.47
1645,45.475
1646,45.47
1647,45.45
1648,45.4541
1649,45.43
1650,45.435
1651,45.44
1652,45.455
1653,45.46
1654,45.46
1655,45.44
1656,45.4375
1657,45.43
1658,45.44
1659,45.445
1660,45.455
1661,45.46
1662,45.4468
1663,45.44
1664,45.44
1665,45.43
1666,45.43
1667,45.42
1668,45.425
1669,45.43
1670,45.44
1671,45.45
1672,45.45
1673,45.445
1674,45.46
1675,45.47
1676,45.46
1677,45.47
1678,45.47
1679,45.47
1680,45.47
1681,45.465
1682,45.46
1683,45.46
1684,45.46
1685,45.4605
1686,45.48
1687,45.4601
1688,45.48
1689,45.46
1690,45.45
1691,45.45
1692,45.4414
1693,45.45
1694,45.45
1695,45.4568
1696,45.44
1697,45.4455
1698,45.44
1699,45.44
1700,45.43
1701,45.445
1702,45.4455
1703,45.44
1704,45.45
1705,45.44
1706,45.43
1707,45.4168
1708,45.415
1709,45.39
1710,45.39
1711,45.39
1712,45.39
1713,45.385
1714,45.375
1715,45.38
1716,45.39
1717,45.3872
1718,45.3835
1719,45.37
1720,45.38
1721,45.3736
1722,45.37
1723,45.37
1724,45.37
1725,45.365
1726,45.34
1727,45.345
1728,45.351
1729,45.36
1730,45.36
1731,45.36
1732,45.35
1733,45.3641
1734,45.38
1735,45.3945
1736,45.39
1737,45.4
1738,45.3994
1739,45.4
1740,45.3985
1741,45.38
1742,45.375
1743,45.4
1744,45.42
1745,45.421
1746,45.43
1747,45.42
1748,45.4
1749,45.41
1750,45.41
1751,45.42
1752,45.4
