,AAPL
967,170.607
968,170.603
969,170.53
970,170.47
971,170.44
972,170.438
973,170.462
974,170.51
975,170.46
976,170.456
977,170.49
978,170.48
979,170.456
980,170.45
981,170.38
982,170.414
983,170.42
984,170.47
985,170.443
986,170.501
987,170.495
988,170.515
989,170.515
990,170.5
991,170.5
992,170.478
993,170.47
994,170.4
995,170.371
996,170.38
997,170.35
998,170.32
999,170.34
1000,170.185
1001,170.1
1002,170.102
1003,170.07
1004,170.074
1005,170.069
1006,170.06
1007,170.13
1008,170.185
1009,170.186
1010,170.095
1011,170.106
1012,170.06
1013,170.105
1014,170.16
1015,170.21
1016,170.19
1017,170.19
1018,170.17
1019,170.222
1020,170.265
1021,170.27
1022,170.3
1023,170.28
1024,170.3
1025,170.29
1026,170.27
1027,170.245
1028,170.21
1029,170.13
1030,170.18
1031,170.25
1032,170.17
1033,170.2
1034,170.03
1035,170.05
1036,170.02
1037,170.09
1038,170.02
1039,170.01
1040,170.01
1041,170.012
1042,169.993
1043,170.01
1044,170.07
1045,170.13
1046,170.11
1047,170.01
1048,170.03
1049,170.044
1050,170.11
1051,170.06
1052,170.05
1053,170.062
1054,170.106
1055,170.08
1056,170.205
1057,170.18
1058,170.06
1059,169.98
1060,170.03
1061,170
1062,169.99
1063,170.07
1064,170.17
1065,170.19
1066,170.29
1067,170.26
1068,170.29
1069,170.27
1070,170.22
1071,170.2
1072,170.25
1073,170.27
1074,170.27
1075,170.407
1076,170.36
1077,170.34
1078,170.353
1079,170.31
1080,170.26
1081,170.22
1082,170.2
1083,170.23
1084,170.24
1085,170.17
1086,170.21
1087,170.18
1088,170.21
1089,170.24
1090,170.3
1091,170.3
1092,170.357
1093,170.35
1094,170.36
1095,170.32
1096,170.21
1097,170.29
1098,170.24
1099,170.29
1100,170.31
1101,170.29
1102,170.36
1103,170.34
1104,170.36
1105,170.346
1106,170.39
1107,170.32
1108,170.356
1109,170.33
1110,170.4
1111,170.44
1112,170.39
1113,170.37
1114,170.45
1115,170.44
1116,170.3
1117,170.29
1118,170.37
1119,170.37
1120,170.4
1121,170.44
1122,170.45
1123,170.41
1124,170.46
1125,170.473
1126,170.51
1127,170.64
1128,170.74
1129,170.746
1130,170.75
1131,170.77
1132,170.769
1133,170.77
1134,170.73
1135,170.665
1136,170.68
1137,170.76
1138,170.67
1139,170.72
1140,170.665
1141,170.641
1142,170.63
1143,170.58
1144,170.55
1145,170.57
1146,170.559
1147,170.51
1148,170.52
1149,170.615
1150,170.6
1151,170.62
1152,170.62
1153,170.61
1154,170.64
1155,170.61
1156,170.62
1157,170.63
1158,170.59
1159,170.68
1160,170.58
1161,170.64
1162,170.64
1163,170.71
1164,170.69
1165,170.76
1166,170.72
1167,170.69
1168,170.69
1169,170.784
1170,170.872
1171,170.842
1172,170.763
1173,170.8
1174,170.83
1175,170.78
1176,170.79
1177,170.66
1178,170.73
1179,170.6
1180,170.66
1181,170.6
1182,170.59
1183,170.64
1184,170.648
1185,170.61
1186,170.58
1187,170.54
1188,170.62
1189,170.56
1190,170.58
1191,170.64
1192,170.64
