,KO
1519,49.865
1520,49.88
1521,49.9
1522,49.91
1523,49.91
1524,49.9
1525,49.91
1526,49.91
1527,49.89
1528,49.89
1529,49.9
1530,49.915
1531,49.92
1532,49.905
1533,49.9
1534,49.9
1535,49.89
1536,49.92
1537,49.92
1538,49.92
1539,49.9152
1540,49.9172
1541,49.91
1542,49.92
1543,49.93
1544,49.925
1545,49.925
1546,49.9266
1547,49.91
1548,49.91
1549,49.92
1550,49.93
1551,49.92
1552,49.9339
1553,49.92
1554,49.94
1555,49.94
1556,49.96
1557,49.965
1558,49.94
1559,49.95
1560,49.93
1561,49.91
1562,49.9
1563,49.905
1564,49.885
1565,49.885
1566,49.885
1567,49.89
1568,49.88
1569,49.89
1570,49.88
1571,49.88
1572,49.87
1573,49.86
1574,49.8501
1575,49.85
1576,49.85
1577,49.85
1578,49.84
1579,49.85
1580,49.85
1581,49.85
1582,49.84
1583,49.825
1584,49.85
1585,49.84
1586,49.84
1587,49.84
1588,49.84
1589,49.83
1590,49.84
1591,49.86
1592,49.87
1593,49.87
1594,49.88
1595,49.88
1596,49.87
1597,49.8
1598,49.86
1599,49.85
1600,49.85
1601,49.86
1602,49.86
1603,49.87
1604,49.9
1605,49.89
1606,49.89
1607,49.895
1608,49.8938
1609,49.8977
1610,49.8815
1611,49.88
1612,49.8811
1613,49.87
1614,49.865
1615,49.88
1616,49.8701
1617,49.89
1618,49.9
1619,49.9
1620,49.91
1621,49.9
1622,49.9122
1623,49.895
1624,49.9
1625,49.9
1626,49.89
1627,49.8865
1628,49.87
1629,49.865
1630,49.86
1631,49.86
1632,49.87
1633,49.874
1634,49.86
1635,49.86
1636,49.86
1637,49.86
1638,49.85
1639,49.85
1640,49.84
1641,49.85
1642,49.83
1643,49.83
1644,49.825
1645,49.825
1646,49.815
1647,49.815
1648,49.835
1649,49.85
1650,49.855
1651,49.855
1652,49.845
1653,49.84
1654,49.845
1655,49.845
1656,49.86
1657,49.86
1658,49.875
1659,49.87
1660,49.8553
1661,49.85
1662,49.85
1663,49.84
1664,49.835
1665,49.835
1666,49.83
1667,49.85
1668,49.85
1669,49.84
1670,49.845
1671,49.845
1672,49.86
1673,49.85
1674,49.8649
1675,49.865
1676,49.8555
1677,49.87
1678,49.865
1679,49.85
1680,49.85
1681,49.865
1682,49.855
1683,49.875
1684,49.87
1685,49.85
1686,49.855
1687,49.84
1688,49.84
1689,49.8521
1690,49.82
1691,49.82
1692,49.82
1693,49.815
1694,49.82
1695,49.83
1696,49.82
1697,49.81
1698,49.815
1699,49.8233
1700,49.8163
1701,49.8
1702,49.81
1703,49.8
1704,49.795
1705,49.795
1706,49.78
1707,49.77
1708,49.7768
1709,49.77
1710,49.78
1711,49.8336
1712,49.765
1713,49.76
1714,49.755
1715,49.765
1716,49.77
1717,49.77
1718,49.79
1719,49.785
1720,49.785
1721,49.775
1722,49.775
1723,49.769
1724,49.76
1725,49.77
1726,49.78
1727,49.78
1728,49.78
1729,49.77
1730,49.77
1731,49.79
1732,49.815
1733,49.82
1734,49.825
1735,49.82
1736,49.82
1737,49.825
1738,49.81
1739,49.815
1740,49.82
1741,49.83
1742,49.83
1743,49.815
1744,49.82
1745,49.815
1746,49.815
1747,49.81
1748,49.815
1749,49.82
1750,49.825
1751,49.83
1752,49.835
1753,49.855
1754,49.845
1755,49.871
1756,49.89
1757,49.9
1758,49.88
1759,49.9
1760,49.895
1761,49.88
1762,49.88
1763,49.87
1764,49.88
1765,49.85
1766,49.85
1767,49.85
1768,49.86
1769,49.855
1770,49.845
1771,49.845
1772,49.85
1773,49.85
1774,49.8401
1775,49.845
1776,49.84
1777,49.85
1778,49.85
1779,49.865
1780,49.88
1781,49.8654
1782,49.8601
1783,49.85
1784,49.84
1785,49.86
1786,49.855
1787,49.855
1788,49.855
1789,49.85
1790,49.8367
1791,49.85
1792,49.845
1793,49.845
1794,49.855
1795,49.855
1796,49.861
1797,49.85
1798,49.84
1799,49.83
1800,49.845
1801,49.83
1802,49.83
1803,49.82
1804,49.82
1805,49.82
1806,49.826
1807,49.825
1808,49.8159
1809,49.815
1810,49.81
1811,49.835
1812,49.835
1813,49.825
1814,49.84
1815,49.84
1816,49.83
1817,49.83
1818,49.83
1819,49.84
1820,49.84
1821,49.855
1822,49.85
1823,49.865
1824,49.9
1825,49.89
1826,49.89
1827,49.9
1828,49.9
1829,49.885
1830,49.87
1831,49.87
1832,49.86
1833,49.87
1834,49.88
1835,49.88
1836,49.88
1837,49.885
1838,49.88
1839,49.87
1840,49.875
1841,49.86
1842,49.865
1843,49.86
1844,49.86
1845,49.86
1846,49.86
1847,49.86
1848,49.885
1849,49.885
1850,49.865
1851,49.8538
1852,49.855
1853,49.855
1854,49.865
1855,49.855
1856,49.87
1857,49.875
1858,49.875
1859,49.875
1860,49.865
1861,49.865
1862,49.88
1863,49.87
1864,49.86
1865,49.865
1866,49.86
1867,49.86
1868,49.865
1869,49.87
1870,49.9
1871,49.888
1872,49.8852
1873,49.8813
1874,49.8748
1875,49.87
1876,49.875
1877,49.875
1878,49.87
1879,49.86
1880,49.85
1881,49.87
1882,49.87
1883,49.8749
1884,49.88
1885,49.89
1886,49.88
1887,49.87
1888,49.875
1889,49.865
1890,49.865
1891,49.8601
1892,49.877
1893,49.8529
1894,49.84
1895,49.8246
1896,49.82
1897,49.83
1898,49.83
1899,49.835
1900,49.83
1901,49.805
1902,49.82
1903,49.815
1904,49.81
1905,49.8
1906,49.7946
1907,49.7946
1908,49.805
1909,49.8
1910,49.785
1911,49.785
1912,49.8
1913,49.795
1914,49.78
1915,49.7888
1916,49.79
1917,49.79
1918,49.7899
1919,49.775
1920,49.765
1921,49.75
1922,49.76
1923,49.75
1924,49.75
1925,49.755
1926,49.755
1927,49.755
1928,49.765
1929,49.752
1930,49.76
1931,49.7766
1932,49.765
1933,49.76
1934,49.76
1935,49.765
1936,49.7538
1937,49.755
1938,49.755
1939,49.76
1940,49.77
1941,49.775
1942,49.775
1943,49.7749
1944,49.775
1945,49.765
1946,49.765
1947,49.76
1948,49.765
1949,49.74
1950,49.745
1951,49.75
1952,49.735
1953,49.72
1954,49.72
1955,49.74
1956,49.73
1957,49.725
1958,49.715
1959,49.705
1960,49.705
1961,49.705
1962,49.7
1963,49.71
1964,49.705
1965,49.695
1966,49.7
1967,49.7
1968,49.7
1969,49.7199
1970,49.74
1971,49.73
1972,49.72
1973,49.71
1974,49.7
1975,49.7
1976,49.695
1977,49.685
1978,49.685
1979,49.68
1980,49.65
1981,49.665
1982,49.67
1983,49.655
1984,49.66
1985,49.65
1986,49.64
1987,49.64
1988,49.65
1989,49.6457
1990,49.635
1991,49.63
1992,49.6299
1993,49.64
1994,49.65
1995,49.64
1996,49.65
1997,49.66
1998,49.67
1999,49.65
2000,49.67
