,AAPL
1379,148.61
1380,148.61
1381,148.55
1382,148.564
1383,148.568
1384,148.578
1385,148.58
1386,148.57
1387,148.605
1388,148.605
1389,148.59
1390,148.605
1391,148.59
1392,148.55
1393,148.563
1394,148.555
1395,148.53
1396,148.514
1397,148.49200000000002
1398,148.47
1399,148.455
1400,148.455
1401,148.454
1402,148.42
1403,148.41
1404,148.40699999999998
1405,148.38
1406,148.33
1407,148.38
1408,148.37
1409,148.395
1410,148.37
1411,148.395
1412,148.39000000000001
1413,148.37
1414,148.39000000000001
1415,148.4
1416,148.45799999999997
1417,148.464
1418,148.464
1419,148.49
1420,148.49
1421,148.49
1422,148.52
1423,148.51
1424,148.42
1425,148.395
1426,148.41
1427,148.43
1428,148.403
1429,148.45
1430,148.403
1431,148.45
1432,148.43
1433,148.41
1434,148.39000000000001
1435,148.41
1436,148.47
1437,148.49
1438,148.55
1439,148.51
1440,148.51
1441,148.471
1442,148.471
1443,148.51199999999997
1444,148.631
1445,148.45999999999998
1446,148.42
1447,148.43
1448,148.37
1449,148.39000000000001
1450,148.37
1451,148.39000000000001
1452,148.37
1453,148.465
1454,148.457
1455,148.457
1456,148.41
1457,148.42
1458,148.35
1459,148.37
1460,148.37
1461,148.36
1462,148.4
1463,148.43
1464,148.39000000000001
1465,148.368
1466,148.367
1467,148.23
1468,148.24
1469,148.25
1470,148.24
1471,148.25
1472,148.26
1473,148.23
1474,148.299
1475,148.31
1476,148.35
1477,148.3
1478,148.33
1479,148.28
1480,148.28
1481,148.25
1482,148.25
1483,148.27
1484,148.32
1485,148.28
1486,148.26
1487,148.26
1488,148.26199999999997
1489,148.2
1490,148.26199999999997
1491,148.2
1492,148.25
1493,148.22000000000003
1494,148.26
1495,148.232
1496,148.23
1497,148.27
1498,148.26
1499,148.23
1500,148.26
1501,148.23
1502,148.22000000000003
1503,148.24
1504,148.23
1505,148.22000000000003
1506,148.22000000000003
1507,148.229
1508,148.25
1509,148.316
1510,148.316
1511,148.339
1512,148.355
1513,148.369
1514,148.362
1515,148.36
1516,148.378
1517,148.41
1518,148.41
1519,148.3
1520,148.41
1521,148.3
1522,148.3
1523,148.35
1524,148.34
1525,148.35
1526,148.35
1527,148.37
1528,148.37
1529,148.36
1530,148.36
1531,148.36
1532,148.345
1533,148.349
1534,148.327
1535,148.365
1536,148.27
1537,148.32
1538,148.3
1539,148.34
1540,148.3
1541,148.34
1542,148.365
1543,148.35
1544,148.389
1545,148.4
1546,148.418
1547,148.40599999999998
1548,148.43
1549,148.48
1550,148.48
1551,148.45999999999998
1552,148.44000000000003
1553,148.4
1554,148.38
1555,148.4
1556,148.411
1557,148.411
1558,148.396
1559,148.36
1560,148.396
1561,148.36
1562,148.411
1563,148.35
1564,148.304
1565,148.324
1566,148.37
1567,148.36
1568,148.33
1569,148.34
1570,148.34
1571,148.355
1572,148.32
1573,148.32
1574,148.333
1575,148.36
1576,148.35
1577,148.32
1578,148.3
1579,148.26
1580,148.3
1581,148.26
1582,148.275
1583,148.26
1584,148.25
1585,148.25
1586,148.25
1587,148.20999999999998
1588,148.22000000000003
1589,148.22000000000003
1590,148.22000000000003
1591,148.24
1592,148.215
1593,148.29
1594,148.3
1595,148.279
1596,148.32
1597,148.29
1598,148.35
1599,148.35
1600,148.35
1601,148.35
1602,148.32
1603,148.331
1604,148.268
1605,148.285
1606,148.26
1607,148.25
1608,148.25
1609,148.224
1610,148.224
1611,148.245
1612,148.26
1613,148.246
1614,148.18
1615,148.173
1616,148.25
1617,148.252
1618,148.252
1619,148.25
1620,148.252
1621,148.25
1622,148.247
1623,148.247
1624,148.3
1625,148.3
1626,148.3
1627,148.24
1628,148.26
1629,148.279
1630,148.279
1631,148.29
1632,148.25899999999996
1633,148.26199999999997
1634,148.25
1635,148.26
1636,148.205
1637,148.20999999999998
1638,148.18
1639,148.16
1640,148.18
1641,148.16
1642,148.16
1643,148.19900000000004
1644,148.23
1645,148.19000000000003
1646,148.23
1647,148.26
1648,148.26
1649,148.272
1650,148.272
1651,148.267
1652,148.19000000000003
1653,148.224
1654,148.2
1655,148.15
1656,148.13
1657,148.152
1658,148.1
1659,148.08
1660,148.1
1661,148.08
1662,148.09
1663,148.07
1664,148.08
1665,148.07
1666,148.1
1667,148.086
1668,148.09
1669,148.064
1670,148.09
1671,148.064
1672,148.06
1673,148.04999999999998
1674,148.04
1675,148.04
1676,148.06
1677,148.035
1678,148.045
1679,148.04999999999998
1680,148.04999999999998
1681,148.068
1682,148.02
1683,148.00000000000003
1684,148.04999999999998
1685,148.057
1686,148.1
1687,148.04999999999998
1688,148.09
1689,148.12
1690,148.09
1691,148.12
1692,148.11
1693,148.13
1694,148.14000000000001
1695,148.13
1696,148.062
1697,148.04999999999998
1698,148.12
1699,148.18
1700,148.18
1701,148.18
1702,148.18
1703,148.17
1704,148.17
1705,148.17
1706,148.16
1707,148.169
1708,148.18
1709,148.15
1710,148.18
1711,148.15
1712,148.18
1713,148.17
1714,148.175
1715,148.15
1716,148.15
1717,148.15
1718,148.16
1719,148.15
1720,148.15
1721,148.14000000000001
1722,148.15
1723,148.19000000000003
1724,148.173
1725,148.2
1726,148.16
1727,148.187
1728,148.182
1729,148.17
1730,148.182
1731,148.17
