,AAPL
1100,151.152
1101,150.811
1102,150.92
1103,150.984
1104,151.096
1105,151.116
1106,151.219
1107,151.202
1108,151.29
1109,151.33
1110,151.29
1111,151.42
1112,151.394
1113,151.358
1114,151.315
1115,151.326
1116,151.29
1117,151.21
1118,151.23
1119,151.265
1120,151.193
1121,151.236
1122,151.301
1123,151.33
1124,151.317
1125,151.26
1126,151.2
1127,151.247
1128,151.16
1129,151.15
1130,151.17
1131,151.216
1132,151.18
1133,151.22
1134,151.17
1135,151.27
1136,151.225
1137,151.295
1138,151.31
1139,151.32
1140,151.37
1141,151.245
1142,151.296
1143,151.33
1144,151.366
1145,151.29
1146,151.293
1147,151.29
1148,151.39
1149,151.54
1150,151.48
1151,151.493
1152,151.46
1153,151.457
1154,151.447
1155,151.35
1156,151.31
1157,151.357
1158,151.34
1159,151.354
1160,151.38
1161,151.41
1162,151.42
1163,151.38
1164,151.45
1165,151.43
1166,151.516
1167,151.452
1168,151.47
1169,151.39
1170,151.34
1171,151.41
1172,151.435
1173,151.435
1174,151.28
1175,151.23
1176,151.303
1177,151.334
1178,151.44
1179,151.43
1180,151.456
1181,151.42
1182,151.38
1183,151.405
1184,151.47
1185,151.46
1186,151.65
1187,151.601
1188,151.55
1189,151.57
1190,151.55
1191,151.7
1192,151.6
1193,151.618
1194,151.63
1195,151.658
1196,151.68
1197,151.75
1198,151.76
1199,151.855
1200,151.923
1201,151.86
1202,151.94
1203,151.885
1204,151.91
1205,151.85
1206,151.97
1207,152.14
1208,152.193
1209,152.285
1210,152.27
1211,152.16
1212,152.062
1213,152.04
1214,152.064
1215,152.07
1216,152.18
1217,152.17
1218,152.267
1219,152.26
1220,152.27
1221,152.264
1222,152.24
1223,152.275
1224,152.3
1225,152.28
1226,152.35
1227,152.39
1228,152.426
1229,152.32
1230,152.33
1231,152.29
1232,152.38
1233,152.42
1234,152.449
1235,152.352
1236,152.46
1237,152.245
1238,152.29
1239,152.191
1240,152.11
1241,152.06
1242,152.12
1243,152.1
1244,152.07
1245,152.127
1246,152.101
1247,152.06
1248,152.1
1249,152.16
1250,152.09
1251,152.07
1252,151.99
1253,151.972
1254,151.882
1255,151.928
1256,151.94
1257,152
1258,152.035
1259,152.09
1260,151.995
1261,151.995
1262,151.991
1263,151.87
1264,151.76
1265,151.575
1266,151.562
1267,151.64
1268,151.55
1269,151.52
1270,151.49
1271,151.48
1272,151.42
1273,151.37
1274,151.44
1275,151.55
1276,151.57
1277,151.54
1278,151.44
1279,151.423
1280,151.415
1281,151.37
1282,151.37
1283,151.392
1284,151.4
1285,151.352
1286,151.517
1287,151.44
1288,151.44
1289,151.52
1290,151.48
1291,151.572
1292,151.54
1293,151.58
1294,151.635
1295,151.59
1296,151.63
1297,151.7
1298,151.72
1299,151.6
1300,151.599
1301,151.64
1302,151.646
1303,151.64
1304,151.52
1305,151.558
1306,151.52
1307,151.462
1308,151.33
1309,151.32
1310,151.36
1311,151.34
1312,151.307
1313,151.415
1314,151.28
1315,151.323
1316,151.35
1317,151.169
1318,151.117
1319,151.03
1320,151.015
1321,151
1322,151.045
1323,151.03
1324,150.97
1325,150.89
1326,150.85
1327,150.92
1328,150.96
1329,150.968
1330,150.875
1331,150.87
1332,150.84
1333,150.817
1334,150.85
1335,150.777
1336,150.825
1337,150.73
1338,150.73
1339,150.719
1340,150.75
1341,150.74
1342,150.833
1343,150.915
1344,150.999
1345,150.97
1346,151.005
1347,150.996
1348,151.01
1349,150.985
1350,150.917
1351,150.834
1352,150.81
1353,150.839
1354,150.815
1355,150.88
1356,150.97
1357,150.98
1358,151.024
1359,151
1360,151.065
1361,151.17
1362,151.145
1363,151.267
1364,151.26
1365,151.244
1366,151.14
1367,151.146
1368,151.165
1369,151.14
1370,151.262
1371,151.287
1372,151.27
1373,151.32
1374,151.26
1375,151.25
1376,151.27
1377,151.24
1378,151.27
1379,151.188
1380,151.22
1381,151.206
1382,151.176
1383,151.13
1384,151.17
1385,151.15
1386,151.083
1387,151.13
1388,151.206
1389,151.13
1390,151.15
1391,151.133
1392,151.208
1393,151.17
1394,151.204
1395,151.212
1396,151.34
1397,151.3
1398,151.25
1399,151.422
1400,151.39
1401,151.45
1402,151.423
1403,151.341
1404,151.42
1405,151.45
1406,151.346
1407,151.354
1408,151.44
1409,151.429
1410,151.53
1411,151.445
1412,151.58
1413,151.554
1414,151.63
1415,151.6
1416,151.509
1417,151.49
1418,151.57
1419,151.53
1420,151.64
1421,151.7
1422,151.643
1423,151.675
1424,151.68
1425,151.73
1426,151.8
1427,151.81
1428,151.82
1429,151.84
1430,151.81
1431,151.855
1432,151.746
1433,151.786
1434,151.78
1435,151.81
1436,151.735
1437,151.72
1438,151.767
1439,151.689
1440,151.64
1441,151.705
1442,151.61
1443,151.64
1444,151.6
1445,151.62
1446,151.56
1447,151.69
1448,151.74
1449,151.8
1450,151.77
1451,151.701
1452,151.68
1453,151.85
1454,151.824
1455,151.827
1456,151.817
1457,151.804
1458,151.78
1459,151.895
1460,151.92
1461,151.93
1462,151.95
1463,151.92
1464,152.02
1465,152.07
1466,152.1
1467,152.13
1468,152.2
1469,152.211
1470,152.205
1471,152.269
1472,152.27
1473,152.26
1474,152.26
1475,152.34
1476,152.369
1477,152.41
1478,152.42
1479,152.33
1480,152.13
1481,152.393
1482,152.42
1483,152.375
1484,152.38
1485,152.55
1486,152.493
1487,152.484
1488,152.49
1489,152.47
1490,152.4
1491,152.291
1492,152.37
1493,152.4
1494,152.47
1495,152.5
1496,152.514
1497,152.51
1498,152.51
1499,152.45
1500,152.43
1501,152.415
1502,152.59
1503,152.54
1504,152.62
1505,152.65
1506,152.75
1507,152.685
1508,152.782
1509,152.78
1510,152.81
1511,152.81
1512,152.83
1513,152.78
1514,152.805
1515,152.88
1516,152.75
1517,152.725
1518,152.77
1519,152.71
1520,152.744
1521,152.79
1522,152.81
1523,152.85
1524,152.944
1525,152.84
1526,152.86
1527,152.825
1528,152.771
1529,152.768
1530,152.726
1531,152.78
1532,152.8
1533,152.77
1534,152.765
1535,152.75
1536,152.71
1537,152.73
1538,152.67
1539,152.72
1540,152.708
1541,152.69
1542,152.648
1543,152.61
1544,152.63
1545,152.852
1546,152.819
1547,153.015
1548,152.94
1549,153.08
1550,153.044
1551,153.059
1552,153.02
1553,153.025
1554,152.96
1555,153.11
1556,153.09
1557,153.067
1558,153.035
1559,153.09
1560,153.117
1561,153.16
1562,152.959
1563,152.9
1564,152.927
1565,152.879
1566,153.003
1567,153
1568,152.923
1569,152.901
1570,152.91
1571,152.921
1572,152.943
1573,152.985
1574,153.04
1575,153
1576,153.032
1577,153
1578,153
1579,153.01
1580,153
1581,153.06
1582,153.101
1583,153.06
1584,153.06
1585,153.03
1586,153
1587,153.03
1588,153.01
1589,153.17
1590,153.1
1591,153.135
1592,153.115
1593,152.97
1594,152.99
1595,152.997
1596,153
1597,152.92
1598,152.902
1599,152.91
1600,152.977
1601,152.955
1602,152.93
1603,152.851
1604,152.81
1605,152.79
1606,152.78
1607,152.8
1608,152.841
1609,152.85
1610,152.88
1611,152.89
1612,152.84
1613,152.85
1614,152.87
1615,152.915
1616,153
1617,153.04
1618,153.13
1619,152.96
1620,153.06
1621,153.085
1622,153.11
1623,152.95
1624,153.02
1625,152.994
1626,152.94
1627,152.875
1628,152.844
1629,152.876
1630,152.9
1631,152.9
1632,152.9
1633,153
1634,153.07
1635,153.089
1636,153.102
1637,153.17
1638,153.27
1639,153.142
1640,153.24
1641,153.23
1642,153.22
1643,153.19
1644,153.25
1645,153.26
1646,153.28
1647,153.245
1648,153.285
1649,153.319
1650,153.35
1651,153.35
