,PFE
1593,36.44
1594,36.44
1595,36.44
1596,36.45
1597,36.4425
1598,36.445
1599,36.4457
1600,36.445
1601,36.45
1602,36.445
1603,36.45
1604,36.45
1605,36.45
1606,36.445
1607,36.445
1608,36.445
1609,36.445
1610,36.449
1611,36.45
1612,36.445
1613,36.445
1614,36.4427
1615,36.45
1616,36.45
1617,36.46
1618,36.4505
1619,36.455
1620,36.455
1621,36.465
1622,36.48
1623,36.48
1624,36.47
1625,36.485
1626,36.49
1627,36.484
1628,36.4836
1629,36.485
1630,36.485
1631,36.49
1632,36.49
1633,36.49
1634,36.49
1635,36.485
1636,36.49
1637,36.49
1638,36.49
1639,36.485
1640,36.48
1641,36.49
1642,36.48
1643,36.49
1644,36.4805
1645,36.485
1646,36.4995
1647,36.49
1648,36.49
1649,36.49
1650,36.4829
1651,36.49
1652,36.5
1653,36.494
1654,36.4934
1655,36.495
1656,36.495
1657,36.49
1658,36.495
1659,36.5
1660,36.5
1661,36.495
1662,36.495
1663,36.4875
1664,36.485
1665,36.483
1666,36.485
1667,36.49
1668,36.49
1669,36.495
1670,36.495
1671,36.49
1672,36.49
1673,36.495
1674,36.495
1675,36.485
1676,36.48
1677,36.485
1678,36.48
1679,36.4856
1680,36.4937
1681,36.49
1682,36.495
1683,36.5
1684,36.49
1685,36.49
1686,36.4943
1687,36.49
1688,36.495
1689,36.5
1690,36.5
1691,36.505
1692,36.4926
1693,36.505
1694,36.5
1695,36.4939
1696,36.5
1697,36.505
1698,36.505
1699,36.505
1700,36.5
1701,36.501
1702,36.51
1703,36.505
1704,36.4988
1705,36.4994
1706,36.51
1707,36.505
1708,36.51
1709,36.495
1710,36.4995
1711,36.5
1712,36.495
1713,36.485
1714,36.485
1715,36.485
1716,36.485
1717,36.48
1718,36.4984
1719,36.485
1720,36.4866
1721,36.485
1722,36.485
1723,36.48
1724,36.4932
1725,36.48
1726,36.485
1727,36.485
1728,36.485
1729,36.49
1730,36.4801
1731,36.49
1732,36.4831
1733,36.49
1734,36.485
1735,36.485
1736,36.49
1737,36.485
1738,36.49
1739,36.485
1740,36.48
1741,36.49
1742,36.485
1743,36.48
1744,36.49
1745,36.4858
1746,36.49
1747,36.485
1748,36.485
1749,36.485
1750,36.49
1751,36.485
1752,36.485
1753,36.485
1754,36.485
1755,36.485
1756,36.475
1757,36.475
1758,36.475
1759,36.4774
1760,36.475
1761,36.48
1762,36.48
1763,36.482
1764,36.48
1765,36.47
1766,36.475
1767,36.475
1768,36.48
1769,36.475
1770,36.4805
1771,36.48
1772,36.4768
