,TRV
1702,114.56
1703,114.59
1704,114.51
1705,114.51
1706,114.57
1707,114.57
1708,114.54
1709,114.47
1710,114.47
1711,114.56
1712,114.43
1713,114.43
1714,114.43
1715,114.43
1716,114.42
1717,114.32
1718,114.42
1719,114.4
1720,114.48
1721,114.39
1722,114.38
1723,114.48
1724,114.4
1725,114.38
1726,114.38
1727,114.39
1728,114.42
1729,114.42
1730,114.43
1731,114.46
1732,114.46
1733,114.42
1734,114.39
1735,114.45
1736,114.29
1737,114.545
1738,114.33
1739,114.407
1740,114.407
1741,114.407
1742,114.32
1743,114.32
1744,114.28
1745,114.28
1746,114.3
1747,114.38
1748,114.44
1749,114.5
1750,114.51
1751,114.45
1752,114.48
1753,114.45
1754,114.48
1755,114.45
1756,114.41
1757,114.41
1758,114.49
1759,114.48
1760,114.48
1761,114.42
1762,114.412
1763,114.45
1764,114.45
1765,114.46
1766,114.43
1767,114.43
1768,114.43
1769,114.43
1770,114.45
1771,114.545
1772,114.58
1773,114.58
1774,114.62
1775,114.68
1776,114.66
1777,114.66
1778,114.59
1779,114.66
1780,114.58
1781,114.66
1782,114.66
1783,114.65
1784,114.68
1785,114.63
1786,114.69
1787,114.69
1788,114.69
1789,114.65
1790,114.65
1791,114.63
1792,114.63
1793,114.58
1794,114.6
1795,114.54
1796,114.57
1797,114.662
1798,114.589
1799,114.61
1800,114.55
1801,114.49
1802,114.58
1803,114.61
1804,114.61
1805,114.61
1806,114.61
1807,114.54
1808,114.54
1809,114.65
1810,114.592
1811,114.63
1812,114.63
1813,114.6
1814,114.6
1815,114.58
1816,114.58
1817,114.57
1818,114.61
1819,114.59
1820,114.66
1821,114.59
1822,114.59
1823,114.57
1824,114.52
1825,114.49
1826,114.49
1827,114.46
1828,114.45
1829,114.5
1830,114.44
1831,114.52
1832,114.53
1833,114.53
1834,114.53
1835,114.53
1836,114.52
1837,114.53
1838,114.58
1839,114.36
1840,114.32
1841,114.33
1842,114.38
1843,114.41
1844,114.46
1845,114.45
1846,114.49
1847,114.54
1848,114.51
1849,114.54
1850,114.53
1851,114.57
1852,114.49
1853,114.54
1854,114.54
1855,114.54
1856,114.53
1857,114.438
1858,114.58
1859,114.58
1860,114.56
1861,114.57
1862,114.545
1863,114.545
1864,114.47
1865,114.53
1866,114.471
1867,114.56
1868,114.47
1869,114.473
1870,114.473
1871,114.473
1872,114.54
1873,114.47
1874,114.47
1875,114.49
1876,114.38
1877,114.42
1878,114.416
1879,114.415
1880,114.38
1881,114.37
1882,114.4
1883,114.4
1884,114.403
1885,114.43
1886,114.4
1887,114.4
1888,114.4
1889,114.36
1890,114.33
1891,114.4
1892,114.41
1893,114.42
1894,114.42
1895,114.52
1896,114.52
1897,114.53
1898,114.52
1899,114.537
1900,114.54
1901,114.55
1902,114.49
1903,114.49
1904,114.58
1905,114.58
1906,114.565
1907,114.58
1908,114.56
1909,114.56
1910,114.603
1911,114.53
1912,114.58
1913,114.65
1914,114.62
1915,114.6
1916,114.52
1917,114.52
1918,114.63
1919,114.63
1920,114.57
1921,114.53
1922,114.53
1923,114.53
1924,114.53
1925,114.58
1926,114.62
1927,114.8
1928,114.68
1929,114.681
1930,114.69
1931,114.69
1932,114.61
1933,114.7
1934,114.7
1935,114.78
1936,114.78
1937,114.75
1938,114.85
1939,114.93
1940,114.86
1941,114.822
1942,114.907
1943,114.84
1944,114.86
1945,114.78
1946,114.86
1947,114.83
1948,114.78
1949,114.78
1950,114.87
1951,114.98
1952,114.98
1953,114.926
1954,114.89
1955,114.91
1956,114.811
1957,114.92
1958,114.89
1959,114.84
1960,114.82
1961,114.89
1962,114.89
1963,114.9
1964,114.932
1965,114.91
1966,114.91
1967,114.88
1968,114.87
1969,114.91
1970,114.93
1971,114.96
1972,114.99
1973,114.98
1974,114.98
1975,115.01
1976,115.05
1977,115.11
1978,115.05
1979,115.02
1980,115.04
1981,115.04
1982,115.04
1983,115.04
1984,115.08
1985,115.06
1986,115.08
1987,115.08
1988,115.09
1989,115.17
1990,115.11
1991,115.15
1992,115.08
1993,115.07
1994,115.07
1995,115.02
1996,115.03
1997,115.03
1998,115.01
1999,115.01
2000,115.06
